neighborhood,parcels,transfers_since_2007,likely_relational_transfers,est_total_annual_savings_usd,est_savings_per_parcel_usd,est_relational_annual_savings_usd,median_assessed_to_market_ratio,home_ppsf_latest,home_ppsf_trend,trend_span_years
Sunset/Parkside,22610,7517,421,241307524,10673,3783298,0.389,1048,0.23,5
West of Twin Peaks,13435,5249,306,154480697,11498,3457276,0.46,1094,0.143,5
Outer Richmond,10506,3894,160,115401542,10984,1335270,0.462,998,0.106,5
Mission,10973,5173,210,108314632,9871,1601838,0.631,1095,0.005,5
Marina,5917,2827,100,94192627,15919,1088899,0.697,1495,0.02,5
Pacific Heights,6186,3400,169,91053839,14719,2415083,0.807,1634,0.121,5
Inner Sunset,7028,2596,111,86555564,12316,1091520,0.434,1094,0.075,5
Noe Valley,7215,3445,160,86094306,11933,1650111,0.62,1501,0.164,5
Castro/Upper Market,6392,3135,146,68947377,10787,1477321,0.683,1466,0.082,5
Excelsior,8781,3101,264,67588566,7697,1844868,0.419,883,0.142,5
Presidio Heights,2697,1261,60,66783209,24762,902846,0.613,1674,0.217,5
Portola,3907,1396,99,59849358,15318,750927,0.43,843,0.108,5
Bernal Heights,6958,3031,164,57732595,8297,1139504,0.526,1158,0.059,5
Haight Ashbury,3882,1834,118,56728615,14613,1256109,0.596,1216,-0.043,5
Inner Richmond,4516,1762,56,55230252,12230,484156,0.51,1151,0.137,5
Oceanview/Merced/Ingleside,6646,2700,200,54370017,8181,1482785,0.424,965,0.282,5
Russian Hill,4800,2543,131,51865889,10805,716473,0.777,1375,0.01,5
Bayview Hunters Point,10012,4710,467,47860028,4780,2502785,0.511,720,0.152,5
Lone Mountain/USF,3364,1403,60,45909631,13647,478802,0.478,1193,0.162,5
Outer Mission,5237,1894,139,39764763,7593,890822,0.431,889,0.176,5
Nob Hill,5309,2768,215,37995289,7157,785545,0.866,991,-0.169,5
Hayes Valley,4933,2256,145,37049148,7510,1074361,0.778,1152,-0.012,5
Potrero Hill,5095,2660,116,33739452,6622,759688,0.744,1151,-0.063,5
Glen Park,2933,1263,44,31208008,10640,390241,0.514,1279,0.124,5
Western Addition,4128,2236,166,30777484,7456,611277,0.738,698,0.476,4
Financial District/South Beach,9640,7091,500,26050266,2702,2351555,0.897,,,
Visitacion Valley,3488,1181,126,24730287,7090,798123,0.384,834,0.322,5
North Beach,2494,1241,65,22767834,9129,254189,0.783,1090,0.0,1
Twin Peaks,2025,983,59,21138625,10439,530016,0.597,1244,0.166,5
South of Market,5890,3989,393,19242215,3267,1623937,0.916,,,
Tenderloin,1966,1217,82,15917560,8096,754146,0.774,,,
Seacliff,874,391,23,14225994,16277,227052,0.635,1303,0.072,5
Chinatown,1408,641,32,8774352,6232,33324,0.81,,,
Mission Bay,3804,2762,167,5653110,1486,775952,0.983,,,
Japantown,881,375,16,4309944,4892,40826,0.336,,,
Lakeshore,489,313,59,875203,1790,39455,0.989,911,1.664,4
Treasure Island,177,93,1,380773,2151,0,0.939,,,
Unknown,9,0,0,0,0,0,,,,
Presidio,29,16,2,0,0,0,,,,
Golden Gate Park,2,1,0,0,0,0,,,,
Lincoln Park,42,18,0,0,0,0,,,,
McLaren Park,93,30,2,0,0,0,,,,
